word,total,astronomical,biological,cosmological,herbal,text only,unknown
ckhy,36,0,2,0,29,1,4
ykar,36,1,1,3,16,10,5
os,35,3,0,6,12,3,11
okor,35,0,4,4,13,2,12
cheos,35,2,0,1,13,1,18
pchedy,35,0,15,0,3,4,13
otchedy,35,0,6,5,3,4,17
sheky,34,0,14,2,7,3,8
qok,34,0,6,0,13,2,13
chedar,34,1,5,0,2,1,25
dshedy,34,0,18,2,7,3,4
olkain,34,0,26,0,3,0,5
lkain,34,0,4,0,0,2,28
ok,33,3,4,3,12,2,9
q,33,1,2,3,15,3,9
oraiin,33,0,1,3,8,5,16
otchey,33,1,4,3,10,1,14
okam,33,0,0,0,16,4,13
tchedy,33,0,11,4,6,2,10
sheckhy,33,0,20,0,2,0,11
shar,32,0,6,2,7,5,12
shcthy,32,0,11,0,7,5,9
otchdy,32,2,4,5,8,4,9
qokeody,32,0,0,3,4,4,21
okchey,31,0,4,3,13,1,10
dchy,31,2,2,1,24,1,1
yteey,31,1,3,8,9,2,8
da,31,2,4,1,14,3,7
chl,31,0,7,0,7,0,17
okchy,31,3,1,5,16,3,3
ykeedy,31,0,10,2,8,2,9
olkaiin,31,0,7,3,5,3,13
lkar,31,0,2,1,0,6,22
qopchedy,31,0,6,0,0,4,21
otchol,30,0,0,1,25,2,2
qokor,30,0,4,0,10,4,12
daly,30,0,6,4,7,8,5
oldy,30,1,12,0,7,1,9
chckhey,30,0,7,2,6,1,14
opchey,30,1,3,0,6,5,15
checthy,30,0,17,0,4,1,8
cheal,29,0,4,2,2,4,17
ot,29,3,1,6,6,1,12
yteedy,29,0,3,1,9,2,14
ary,29,3,4,5,5,1,11
olor,29,1,15,2,5,1,5
sair,28,1,3,3,4,6,11
ckhey,28,0,1,0,13,3,11
aiir,28,1,0,8,4,1,14
tchy,27,0,1,0,23,1,2
kal,27,0,3,0,7,5,12
qokchey,27,0,4,1,5,1,16
ldy,27,0,10,2,7,1,7
lkedy,27,0,5,0,3,2,17
okeeey,27,0,1,2,3,1,20
aly,27,1,6,2,3,4,11
dchedy,27,1,9,1,5,1,10
qokeeey,27,0,4,0,2,2,19
kor,26,0,1,0,16,3,6
dchor,26,1,1,2,22,0,0
qotor,26,0,1,1,18,0,6
tal,26,0,10,3,1,9,3
che,26,2,2,3,8,3,8
okchdy,26,2,6,7,5,2,4
chedal,26,0,2,2,2,1,19
olkedy,26,0,19,0,1,2,4
otair,26,0,1,3,0,1,21
iin,25,1,2,2,13,1,6
qokam,25,0,5,1,7,0,12
daiir,25,4,0,2,11,3,5
kchol,25,0,1,0,21,1,2
oteos,25,1,0,5,3,0,16
olchey,25,0,14,1,3,1,6
qotchedy,25,0,4,1,1,2,17
in,24,0,3,1,6,6,8
shodaiin,24,0,0,3,15,1,5
dchol,24,2,2,1,16,2,1
oaiin,24,1,0,0,12,0,11
otody,24,0,1,11,6,0,6
om,24,0,0,3,7,1,13
ytedy,24,0,8,0,13,2,1
chdar,24,1,2,5,2,1,13
okchedy,24,0,2,3,2,1,16
odar,23,0,1,4,6,2,10
shear,23,0,4,0,4,3,12
ctho,23,0,0,0,22,0,1
yty,23,0,1,3,15,1,3
qotey,23,0,6,0,1,4,12
